Korean,English
것,thing
하다,to do
있다,to have
되다,to have
나,me/I
없다,to not have/none
사람,person
우리,we/us
아니다,no/not
같다,same
대하다,treat
년,year
때문,because
말하다,to say
위하다,for
그러나,but
알다,to know
그렇다,to be that
또,In addition
사회,Social
많다,many
좋다,to be good
더,more
받다,to receive
그것,that
집,home/house
나오다,to come out
그리고,and
문제,problem
그런,like that
살다,to live
생각하다,to think
모르다,to not know
속,inside
만들다,to make
데,place
두,two
앞,front
경우,case
중,during/middle
어떤,what kind
잘,well
그녀,she
오다,to come
문화,culture
생각,thought
어떻다,how
명,number of people
통하다,pass
그러다,then
소리,sound
다시,again
다른,different
이런,this
여자,woman
정도,degree
뒤,back
듣다,to listen
좀,a little
싶다,to want
함께,together
지나다,to pass by
많이,a lot
너,you
주다,to give
인간,human
이렇다,like this
어머니,mother
의하다,be due to
시대,era
다음,next
이러하다,do this
누구,who
곳,place
여러,various
세계,world
운동,exercise/sport
퍼센트,percent
학교,school
대통령,president
시작하다,to start
바로,right away
어느,which
무엇,what
정부,goverment
모든,every/all
번,number of times
그거,it/that
돈,money
국가,country
그런데,By the way
날,me/day
여기,here
여성,female
친구,friend
마음,mind/heart
후,after
가다,to go
관계,relation
아버지,father
